Index_no,listing_id,date,availability
228,241032,8/18/2016,1
229,241032,8/19/2016,1
230,241032,8/20/2016,1
231,241032,8/21/2016,1
232,241032,8/22/2016,1
233,241032,8/23/2016,1
234,241032,8/24/2016,1
235,241032,8/25/2016,1
236,241032,8/26/2016,1
237,241032,8/27/2016,1
238,241032,8/28/2016,1
239,241032,8/29/2016,1
240,241032,8/30/2016,1
241,241032,8/31/2016,1
242,241032,9/1/2016,1
243,241032,9/2/2016,1
244,241032,9/3/2016,1
245,241032,9/4/2016,1
246,241032,9/5/2016,1
247,241032,9/6/2016,1
248,241032,9/7/2016,1
249,241032,9/8/2016,1
250,241032,9/9/2016,1
251,241032,9/10/2016,1
252,241032,9/11/2016,1
253,241032,9/12/2016,1
254,241032,9/13/2016,1
255,241032,9/14/2016,1
256,241032,9/15/2016,1
257,241032,9/16/2016,1
258,241032,9/17/2016,1
259,241032,9/18/2016,1
260,241032,9/19/2016,1
261,241032,9/20/2016,1
262,241032,9/21/2016,1
263,241032,9/22/2016,1
264,241032,9/23/2016,1
265,241032,9/24/2016,1
266,241032,9/25/2016,1
267,241032,9/26/2016,1
268,241032,9/27/2016,1
269,241032,9/28/2016,1
270,241032,9/29/2016,1
271,241032,9/30/2016,1
272,241032,10/1/2016,1
273,241032,10/2/2016,1
274,241032,10/3/2016,1
275,241032,10/4/2016,1
276,241032,10/5/2016,1
277,241032,10/6/2016,1
278,241032,10/7/2016,1
279,241032,10/8/2016,1
280,241032,10/9/2016,1
281,241032,10/10/2016,1
282,241032,10/11/2016,1
283,241032,10/12/2016,1
284,241032,10/13/2016,1
285,241032,10/14/2016,1
286,241032,10/15/2016,1
287,241032,10/16/2016,1
288,241032,10/17/2016,1
289,241032,10/18/2016,1
290,241032,10/19/2016,1
291,241032,10/20/2016,1
292,241032,10/21/2016,1
293,241032,10/22/2016,1
294,241032,10/23/2016,1
295,241032,10/24/2016,1
296,241032,10/25/2016,1
297,241032,10/26/2016,1
298,241032,10/27/2016,1
299,241032,10/28/2016,1
300,241032,10/29/2016,1
301,241032,10/30/2016,1
302,241032,10/31/2016,1
303,241032,11/1/2016,1
304,241032,11/2/2016,1
305,241032,11/3/2016,1
306,241032,11/4/2016,1
307,241032,11/5/2016,1
308,241032,11/6/2016,1
309,241032,11/7/2016,1
310,241032,11/8/2016,1
311,241032,11/9/2016,1
312,241032,11/10/2016,1
313,241032,11/11/2016,1
314,241032,11/12/2016,1
315,241032,11/13/2016,1
316,241032,11/14/2016,1
317,241032,11/15/2016,1
318,241032,11/16/2016,1
319,241032,11/17/2016,1
320,241032,11/18/2016,1
321,241032,11/19/2016,1
322,241032,11/20/2016,1
323,241032,11/21/2016,1
324,241032,11/22/2016,1
325,241032,11/23/2016,1
326,241032,11/24/2016,1
327,241032,11/25/2016,1
328,241032,11/26/2016,1
329,241032,11/27/2016,1
330,241032,11/28/2016,1
331,241032,11/29/2016,1
332,241032,11/30/2016,1
333,241032,12/1/2016,1
