Index_no,listing_id,date,availability
975,3308979,9/4/2016,1
976,3308979,9/5/2016,1
977,3308979,9/6/2016,1
978,3308979,9/7/2016,1
979,3308979,9/8/2016,1
980,3308979,9/9/2016,1
981,3308979,9/10/2016,1
982,3308979,9/11/2016,1
983,3308979,9/12/2016,1
984,3308979,9/13/2016,1
985,3308979,9/14/2016,1
986,3308979,9/15/2016,1
987,3308979,9/16/2016,1
988,3308979,9/17/2016,1
989,3308979,9/18/2016,1
990,3308979,9/19/2016,1
991,3308979,9/20/2016,1
992,3308979,9/21/2016,1
993,3308979,9/22/2016,1
994,3308979,9/23/2016,1
995,3308979,9/24/2016,1
996,3308979,9/25/2016,1
997,3308979,9/26/2016,1
998,3308979,9/27/2016,1
999,3308979,9/28/2016,1
1000,3308979,9/29/2016,1
