cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
186,8097708,f,strict,8,0.25
187,5671843,f,moderate,1,3.31
188,904057,f,strict,1,3.57
189,7161725,f,moderate,1,1.24
190,9587410,f,flexible,1,2
191,9202380,f,flexible,1,
192,2238105,f,moderate,1,2.7
193,9545766,f,flexible,1,
194,2441908,f,flexible,1,3.3
195,9367465,f,flexible,1,0.86
196,3031415,f,strict,8,5.63
197,843812,f,moderate,2,0.29
198,3835995,f,flexible,1,9.14
199,9732638,f,moderate,1,
200,3768745,f,flexible,1,2.27
201,3975434,f,flexible,1,1.04
202,5620928,f,flexible,1,1.86
203,7381677,f,strict,1,2.52
204,5487934,f,moderate,1,0.26
205,9028447,f,moderate,1,1
206,757840,f,moderate,1,2.56
207,8848403,f,flexible,2,2
208,7430926,t,strict,1,5.92
209,7021544,f,strict,5,3.15
210,1323446,f,moderate,1,4.59
211,3925573,f,strict,1,0.32
212,8723086,f,moderate,1,5
213,781474,f,moderate,2,0.03
214,9812439,f,strict,5,
215,3401644,f,moderate,1,0.31
216,10036903,f,strict,1,
217,5310193,f,strict,1,0.6
218,5308875,f,moderate,1,2.88
219,5052459,f,moderate,1,3.08
220,7228499,t,strict,8,7.18
221,7651653,f,strict,2,0.54
222,1494986,t,strict,4,0.35
223,1783382,f,moderate,1,0.61
224,7513198,f,moderate,1,0.21
225,8308316,t,moderate,1,1.98
226,9694921,f,flexible,1,1
227,2472850,f,strict,1,1.41
228,5487522,f,moderate,1,0.73
229,4016650,f,strict,1,3.48
230,10229434,f,flexible,1,
231,3479241,t,moderate,1,0.92
232,5848400,f,strict,31,0.5
233,6077760,t,moderate,1,2.92
234,4642956,f,moderate,1,0.1
235,1167507,f,strict,1,1.93
236,6044106,t,strict,5,5.91
237,1799255,f,flexible,1,2.29
238,8941768,f,flexible,2,0.59
239,6569950,t,flexible,1,0.2
240,7733192,f,moderate,1,2.67
241,9215782,f,strict,1,1.71
242,5175631,f,strict,1,2.57
243,6315614,f,flexible,1,
244,9134193,f,moderate,1,1
245,2481189,f,strict,1,2.41
246,8535897,f,strict,1,3.82
247,9476826,f,flexible,1,
248,3144311,f,moderate,1,0.63
249,9370007,t,strict,5,
250,6781308,t,strict,2,4.68
251,160222,f,moderate,1,0.98
252,4250367,f,flexible,1,0.53
253,8755479,f,moderate,2,0.71
254,8829156,f,flexible,2,2.66
255,5126077,f,moderate,2,0.34
256,6108796,f,strict,5,5.81
257,2692126,f,strict,1,3.45
258,6882211,f,flexible,1,
