type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
436,3888986,House,Shared room,1,1,1,1,Real Bed,
437,4135710,House,Entire home/apt,2,1,1,2,Real Bed,
438,3652434,House,Private room,2,1,1,1,Real Bed,
439,7667990,Apartment,Entire home/apt,2,1,1,1,Real Bed,
440,4047058,House,Private room,2,2,1,1,Real Bed,
441,7163934,House,Private room,2,1,1,1,Real Bed,
442,7717478,House,Entire home/apt,8,1,4,3,Real Bed,
443,4653552,Apartment,Entire home/apt,5,1,2,3,Real Bed,
444,6915439,House,Private room,2,1,1,1,Real Bed,
445,506542,Apartment,Entire home/apt,4,1,0,2,Real Bed,750
446,4046863,House,Private room,2,2,1,1,Real Bed,
447,3915826,Apartment,Entire home/apt,3,1,1,1,Real Bed,
448,4787415,House,Entire home/apt,4,2,3,3,Real Bed,
449,1602488,House,Private room,4,1,1,2,Real Bed,
450,8459215,House,Private room,2,1,1,1,Real Bed,
451,10274175,Apartment,Private room,2,1,1,1,Real Bed,
452,9167786,House,Private room,2,1,1,1,Real Bed,
453,5686435,House,Entire home/apt,6,2.5,3,2,Real Bed,
454,7939058,House,Private room,2,1,1,1,Real Bed,
455,8392801,House,Entire home/apt,4,1,2,2,Real Bed,
456,7404370,House,Entire home/apt,2,1,1,1,Real Bed,
457,3720511,House,Entire home/apt,5,3,3,3,Real Bed,
458,8193332,Apartment,Entire home/apt,4,1,1,1,Real Bed,
459,7957904,Apartment,Entire home/apt,2,1,1,1,Real Bed,
460,4555997,Apartment,Entire home/apt,4,1,0,2,Real Bed,
461,2267088,Apartment,Entire home/apt,5,1,2,3,Real Bed,1200
462,108468,House,Entire home/apt,9,3,4,5,Real Bed,3000
463,6400379,House,Private room,2,1,1,1,Real Bed,
464,5948003,Condominium,Private room,2,1,1,1,Real Bed,
465,5058086,Apartment,Entire home/apt,2,1,0,1,Real Bed,
466,1209255,House,Entire home/apt,6,2,3,3,Real Bed,
467,1914051,Apartment,Entire home/apt,2,1,1,1,Real Bed,
468,2923529,Apartment,Entire home/apt,3,1,1,1,Real Bed,
469,1027860,House,Entire home/apt,5,2,2,4,Real Bed,
470,2373176,Apartment,Entire home/apt,2,1,1,1,Real Bed,
471,6404427,House,Entire home/apt,4,1,2,2,Real Bed,
472,8517602,House,Private room,2,1.5,1,1,Real Bed,
473,7035240,House,Entire home/apt,8,1.5,3,5,Real Bed,
474,4583161,House,Private room,2,1,1,1,Real Bed,
475,7967844,House,Entire home/apt,4,1,2,2,Real Bed,
476,6562393,House,Entire home/apt,6,2,2,2,Real Bed,
477,7807087,House,Entire home/apt,4,1,2,3,Real Bed,
478,5405643,House,Entire home/apt,7,1,3,3,Real Bed,
479,7011200,Apartment,Entire home/apt,2,1,1,1,Real Bed,
480,610989,Bed & Breakfast,Private room,2,1,1,1,Real Bed,
481,7839535,House,Private room,2,1,1,1,Real Bed,
482,4814894,Apartment,Entire home/apt,4,1,2,2,Real Bed,
483,186328,House,Entire home/apt,6,3,3,2,Real Bed,
484,7492877,House,Entire home/apt,4,1,2,2,Real Bed,
485,6576228,Condominium,Entire home/apt,5,1,2,2,Real Bed,
486,241016,House,Entire home/apt,4,1,2,3,Real Bed,
487,6968101,Apartment,Entire home/apt,5,1,2,2,Real Bed,
488,5648564,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,
489,4116645,Apartment,Entire home/apt,3,1,1,2,Futon,
490,2419879,House,Entire home/apt,6,2,3,3,Real Bed,
491,6425735,Apartment,Private room,1,1,1,1,Real Bed,
492,8105351,House,Entire home/apt,4,1,2,2,Real Bed,
493,9136499,Townhouse,Private room,1,1,1,1,Real Bed,
494,3639023,Townhouse,Private room,2,1.5,1,1,Real Bed,
495,6724599,Apartment,Entire home/apt,3,1,1,1,Real Bed,
496,4211629,Apartment,Entire home/apt,4,1,2,2,Real Bed,
497,7151924,House,Entire home/apt,2,1,1,1,Real Bed,
498,704764,Apartment,Entire home/apt,4,1,2,2,Real Bed,
499,1796217,House,Entire home/apt,8,2.5,3,4,Real Bed,
500,4661812,Apartment,Entire home/apt,6,1,2,2,Real Bed,
501,8811945,House,Entire home/apt,4,1,2,2,Real Bed,
502,1090307,House,Private room,2,1,1,1,Real Bed,
503,15108,House,Private room,2,1.5,1,1,Real Bed,140
504,1882316,House,Entire home/apt,6,3,3,3,Real Bed,
505,1095207,House,Entire home/apt,7,3,3,3,Real Bed,
506,1343805,House,Entire home/apt,4,2,3,1,Real Bed,
507,9217150,Apartment,Entire home/apt,2,1,0,1,Real Bed,
508,103920,House,Entire home/apt,4,1,2,2,Real Bed,
509,2215336,Apartment,Entire home/apt,5,1,2,2,Real Bed,
510,1483944,House,Private room,3,1,1,1,Real Bed,
511,6466129,House,Entire home/apt,4,1,1,2,Real Bed,
512,8536441,Apartment,Entire home/apt,4,1,1,2,Real Bed,
513,6262987,House,Private room,4,1,1,2,Real Bed,
514,8379081,House,Private room,4,1,1,1,Real Bed,
515,8365938,Apartment,Private room,2,1,1,1,Real Bed,
516,9921445,Apartment,Entire home/apt,4,1,1,1,Real Bed,
517,132160,Apartment,Entire home/apt,6,1,2,3,Real Bed,
518,2033191,Apartment,Entire home/apt,4,1,2,2,Real Bed,
519,8849407,Apartment,Private room,2,1,1,1,Real Bed,
520,9922335,Apartment,Entire home/apt,4,1,2,3,Real Bed,
521,7243974,House,Entire home/apt,5,1,2,3,Real Bed,
522,6490453,House,Private room,2,1,1,1,Real Bed,
523,4025593,Apartment,Private room,2,1,1,1,Real Bed,
524,8556103,House,Entire home/apt,2,1,1,1,Real Bed,
525,955506,House,Entire home/apt,4,1,2,2,Real Bed,950
526,9868607,Townhouse,Entire home/apt,4,1.5,2,3,Real Bed,
527,8668073,House,Entire home/apt,5,2,2,3,Real Bed,
528,790860,Apartment,Entire home/apt,7,1,3,1,Real Bed,
529,261912,House,Entire home/apt,4,1,2,2,Real Bed,
530,368403,House,Entire home/apt,12,3,6,6,Real Bed,
531,9878971,House,Entire home/apt,7,2,3,5,Real Bed,
532,5602370,Apartment,Entire home/apt,2,1,1,1,Real Bed,
533,9395217,Apartment,Entire home/apt,2,1,0,1,Real Bed,
534,7331079,House,Entire home/apt,4,1,3,3,Real Bed,
535,580182,House,Entire home/apt,6,1.5,3,3,Real Bed,
536,8152191,House,Private room,2,1,1,1,Real Bed,
537,103908,House,Entire home/apt,2,1,1,1,Real Bed,
538,783061,House,Private room,2,1.5,1,1,Real Bed,2000
539,7901725,House,Entire home/apt,8,2.5,3,5,Real Bed,
540,4968752,House,Entire home/apt,5,1.5,2,2,Real Bed,
541,14386,House,Private room,2,1.5,1,1,Futon,
542,7517215,House,Private room,4,1,1,2,Real Bed,
543,1602421,House,Private room,2,1.5,1,1,Real Bed,
544,3821822,Apartment,Entire home/apt,3,1,1,2,Real Bed,
545,6073437,Apartment,Entire home/apt,2,1,0,1,Real Bed,
546,7917700,House,Private room,2,1,1,2,Real Bed,
547,6278181,House,Entire home/apt,6,1,3,3,Real Bed,
548,4279578,Apartment,Entire home/apt,2,1,1,1,Real Bed,
549,9907337,Apartment,Entire home/apt,4,1,2,2,Real Bed,
550,1796861,House,Entire home/apt,6,1.5,3,3,Real Bed,
551,4211836,House,Private room,2,1,1,1,Real Bed,
552,4025954,Apartment,Entire home/apt,2,1,1,1,Real Bed,
553,6154478,House,Entire home/apt,2,1.5,1,1,Real Bed,
554,84030,House,Private room,4,1,1,2,Real Bed,
555,4235559,House,Entire home/apt,8,2,3,2,Real Bed,
556,830948,Apartment,Private room,2,1,1,1,Real Bed,
557,3468261,Apartment,Entire home/apt,2,1,1,1,Real Bed,
558,10026648,Apartment,Entire home/apt,1,1,1,1,Couch,
559,9117633,Condominium,Entire home/apt,4,2,2,2,Real Bed,
560,9158383,Apartment,Private room,1,1,1,1,Real Bed,
561,1145590,Apartment,Entire home/apt,5,2,2,2,Real Bed,
562,5020848,Boat,Private room,2,2,1,2,Real Bed,
563,9600159,Apartment,Entire home/apt,6,2,2,3,Real Bed,
564,3522409,House,Entire home/apt,4,1,1,2,Real Bed,
565,9492873,Apartment,Entire home/apt,2,1,0,1,Real Bed,
566,5534463,Boat,Entire home/apt,8,4,4,6,Real Bed,
567,9409233,House,Entire home/apt,4,1,1,2,Real Bed,
568,9531265,Boat,Entire home/apt,4,2,2,3,Real Bed,
569,5364609,Apartment,Entire home/apt,2,1,1,1,Real Bed,
570,6629132,Townhouse,Private room,3,1,1,1,Real Bed,
571,5489676,Apartment,Entire home/apt,4,1,2,2,Real Bed,
572,9347157,Apartment,Private room,2,1,1,1,Real Bed,
573,10035644,Apartment,Entire home/apt,2,1,1,1,Real Bed,
574,8293287,House,Private room,2,1,1,1,Real Bed,
575,910784,House,Entire home/apt,5,1,2,2,Real Bed,
576,7071222,Townhouse,Entire home/apt,5,2,2,2,Real Bed,
577,8687716,House,Entire home/apt,6,3.5,3,3,Real Bed,
578,7430679,Townhouse,Private room,1,1,1,1,Real Bed,
579,180939,Apartment,Entire home/apt,2,1,1,1,Real Bed,
580,6884604,House,Entire home/apt,2,1,0,1,Real Bed,
581,7397476,Condominium,Entire home/apt,6,2,2,3,Real Bed,
582,1063855,House,Entire home/apt,5,1,2,3,Real Bed,900
583,8865006,Townhouse,Private room,2,1,1,1,Real Bed,
584,8069192,House,Private room,2,1,1,1,Real Bed,
585,2800448,Townhouse,Private room,2,1,1,1,Real Bed,
586,9076287,House,Private room,2,1,1,1,Real Bed,
587,7462439,Apartment,Shared room,2,1,1,1,Futon,
588,8225635,Townhouse,Entire home/apt,11,3.5,4,6,Real Bed,
589,2966415,House,Private room,2,1,1,1,Real Bed,
590,4639465,House,Private room,2,1,1,1,Real Bed,
591,7402190,House,Private room,2,1,1,1,Pull-out Sofa,
592,9448719,House,Private room,2,1,1,1,Real Bed,
593,5670781,House,Entire home/apt,6,2,3,3,Real Bed,
594,1905473,House,Private room,2,1,1,1,Real Bed,
595,7266662,House,Private room,2,1,1,1,Real Bed,
596,9095510,House,Private room,4,1,1,2,Real Bed,
597,7401854,House,Entire home/apt,2,1,1,1,Pull-out Sofa,
598,5174876,House,Entire home/apt,2,1,0,1,Real Bed,
599,1256883,Apartment,Entire home/apt,6,1,2,4,Real Bed,
600,8072850,House,Private room,2,1,1,1,Real Bed,
601,6706377,House,Entire home/apt,4,1.5,1,2,Real Bed,
602,9738522,House,Entire home/apt,15,3,5,9,Real Bed,
603,2995996,House,Entire home/apt,6,2,2,2,Real Bed,
604,6674408,House,Private room,2,1.5,1,1,Real Bed,
605,6801095,Townhouse,Private room,2,2,1,1,Real Bed,
606,143704,House,Entire home/apt,3,1,1,2,Real Bed,
607,9258305,House,Entire home/apt,4,1,2,2,Real Bed,
608,3727017,House,Entire home/apt,4,1,2,2,Real Bed,
609,789966,Apartment,Entire home/apt,2,1,1,1,Real Bed,
610,6864319,House,Entire home/apt,8,2,2,2,Real Bed,
611,1539463,House,Private room,2,1,1,1,Real Bed,
612,9591787,Townhouse,Entire home/apt,9,2.5,3,6,Real Bed,
613,10279830,House,Entire home/apt,5,1,2,2,Real Bed,
614,1956553,House,Entire home/apt,3,1,1,1,Real Bed,
615,7396508,Condominium,Entire home/apt,4,1,1,2,Real Bed,
616,6272065,House,Private room,2,1,1,1,Real Bed,
617,7072218,Apartment,Entire home/apt,3,1,1,1,Real Bed,
618,7075948,Townhouse,Entire home/apt,5,1.5,2,2,Real Bed,
619,7543458,Apartment,Entire home/apt,2,1,1,1,Real Bed,
620,3769336,House,Entire home/apt,2,1,1,1,Real Bed,
621,8666707,Apartment,Entire home/apt,3,1,1,1,Real Bed,
622,7205443,Apartment,Entire home/apt,6,1,2,3,Real Bed,
623,193371,House,Entire home/apt,5,2.5,3,3,Real Bed,
624,9957555,House,Entire home/apt,6,1.5,3,4,Real Bed,
625,6795678,House,Entire home/apt,4,1,1,2,Real Bed,
626,9300972,Apartment,Private room,2,1,1,1,Real Bed,
627,8047522,Townhouse,Entire home/apt,7,1.5,2,5,Real Bed,
628,9457328,Apartment,Entire home/apt,4,1,2,2,Real Bed,
629,6576006,Townhouse,Private room,2,1.5,1,1,Real Bed,
630,7971334,House,Private room,2,1,1,1,Real Bed,
631,1984962,House,Entire home/apt,6,3.5,3,3,Real Bed,1800
632,9292039,Apartment,Entire home/apt,2,1,1,1,Real Bed,
633,6661617,House,Entire home/apt,6,2.5,2,3,Real Bed,
634,8848854,House,Entire home/apt,5,2,2,3,Real Bed,
635,3251069,House,Private room,2,1,1,1,Real Bed,
636,4111137,Apartment,Entire home/apt,4,1,1,2,Real Bed,
637,4760472,Apartment,Entire home/apt,3,1,1,1,Real Bed,
638,8968925,House,Private room,4,2.5,1,2,Real Bed,
639,3293438,Apartment,Entire home/apt,2,1,1,1,Real Bed,
640,9210978,House,Entire home/apt,4,2,2,2,Real Bed,
641,3319386,Apartment,Private room,2,1,1,1,Real Bed,
642,7717813,House,Entire home/apt,4,1,1,2,Real Bed,
643,5578943,House,Private room,2,1,1,1,Real Bed,
644,7660932,Cabin,Private room,1,1,1,1,Real Bed,
645,4271221,House,Private room,2,1,1,1,Real Bed,
646,6358605,Apartment,Private room,2,1,1,1,Real Bed,
647,1439237,House,Private room,2,1,1,1,Real Bed,
648,7775167,House,Private room,2,1,1,1,Real Bed,
649,7437784,House,Private room,2,1,1,1,Pull-out Sofa,
650,9628972,House,Private room,2,1,1,1,Real Bed,
651,8425013,House,Entire home/apt,10,3.5,5,7,Real Bed,
652,6925807,House,Entire home/apt,4,1.5,2,2,Real Bed,
653,7400955,House,Entire home/apt,6,2,3,5,Real Bed,
654,8174389,House,Entire home/apt,5,1,2,2,Real Bed,
655,6292452,House,Entire home/apt,6,3.5,4,5,Real Bed,
656,9095668,Apartment,Entire home/apt,2,1,0,1,Real Bed,
657,413733,House,Entire home/apt,6,1,2,2,Real Bed,
658,8783900,Townhouse,Entire home/apt,7,1.5,0,2,Real Bed,
659,639130,House,Entire home/apt,8,3,4,5,Real Bed,3
660,2484067,House,Private room,3,1,1,2,Real Bed,
661,3533112,Apartment,Entire home/apt,3,1,0,1,Real Bed,
662,2249292,Apartment,Entire home/apt,4,1,2,2,Real Bed,
663,7838294,House,Entire home/apt,5,1,2,3,Real Bed,
664,6133354,Apartment,Entire home/apt,2,1,0,1,Real Bed,
665,7987836,Loft,Entire home/apt,2,1,1,1,Real Bed,
666,9910025,Apartment,Entire home/apt,4,1,2,2,Real Bed,
667,7364024,Townhouse,Entire home/apt,4,1,1,2,Real Bed,
668,9362082,House,Entire home/apt,5,1,2,2,Real Bed,
669,8847108,Other,Entire home/apt,2,1,1,1,Real Bed,
670,7462428,House,Private room,1,1.5,1,1,Real Bed,
671,4370312,Apartment,Entire home/apt,2,1,1,1,Real Bed,
672,4053972,Apartment,Entire home/apt,2,1,1,1,Real Bed,
673,6209191,House,Private room,2,1.5,1,1,Real Bed,
674,10123910,House,Entire home/apt,8,1,4,5,Real Bed,
675,6412858,House,Entire home/apt,6,2.5,3,2,Real Bed,
676,3987838,Apartment,Entire home/apt,2,1,1,1,Real Bed,
677,7027507,House,Private room,1,1,1,1,Real Bed,
678,6587443,House,Private room,4,1,1,1,Real Bed,
679,10204689,Apartment,Entire home/apt,2,1,1,1,Real Bed,
680,1029680,House,Entire home/apt,4,2,3,3,Real Bed,
681,7208439,Apartment,Entire home/apt,4,1,1,2,Real Bed,
682,8327765,House,Entire home/apt,8,3,4,5,Real Bed,
683,3953611,House,Private room,4,1,1,2,Real Bed,
684,2584354,Apartment,Entire home/apt,2,1,1,1,Futon,
685,4574700,House,Entire home/apt,8,3,3,4,Real Bed,
686,5685646,House,Entire home/apt,6,1,2,3,Real Bed,
687,977722,Apartment,Entire home/apt,2,1,1,1,Real Bed,
688,2931922,Apartment,Entire home/apt,5,2,2,2,Real Bed,
689,8253955,House,Entire home/apt,6,1,1,3,Real Bed,
690,6426462,Condominium,Private room,1,1,1,1,Real Bed,
691,8154238,House,Shared room,1,1,1,1,Real Bed,
692,5020861,Apartment,Private room,3,1,1,1,Real Bed,
693,9611409,Other,Private room,2,1,1,1,Pull-out Sofa,
694,9282348,Apartment,Private room,2,0.5,1,1,Futon,
695,8939306,House,Private room,2,1,1,1,Real Bed,
696,5423692,House,Private room,2,1,1,1,Futon,
697,9159975,Townhouse,Private room,2,1.5,1,1,Real Bed,
698,7561272,House,Private room,2,1,1,1,Real Bed,
699,7326419,House,Private room,2,1,1,1,Real Bed,
700,9373607,Apartment,Private room,2,1,1,1,Real Bed,
701,6717555,Apartment,Private room,1,1,1,1,Real Bed,
702,8939433,House,Private room,2,1,1,1,Real Bed,
703,8939503,House,Private room,2,1,1,1,Real Bed,
704,8742753,Apartment,Private room,2,1,1,1,Real Bed,
705,8939687,House,Private room,2,1,1,1,Real Bed,
706,3793406,Apartment,Entire home/apt,2,1,2,2,Real Bed,
707,9134196,Apartment,Entire home/apt,2,1,0,1,Real Bed,
708,6007267,Apartment,Entire home/apt,3,1,1,1,Real Bed,
709,3422894,Apartment,Entire home/apt,2,1,0,1,Futon,
710,3630581,Apartment,Entire home/apt,2,1,0,1,Real Bed,
711,9394508,Apartment,Entire home/apt,4,1,1,2,Real Bed,
712,7348578,House,Private room,3,2,1,1,Real Bed,
713,8869680,Apartment,Entire home/apt,4,1,0,1,Real Bed,
714,7678429,Apartment,Entire home/apt,2,1,1,1,Real Bed,
715,2979387,House,Entire home/apt,10,2,3,7,Real Bed,
716,1531458,Apartment,Entire home/apt,4,1,1,2,Real Bed,
717,1549973,Apartment,Entire home/apt,3,1,1,1,Real Bed,
718,1123977,Apartment,Entire home/apt,4,1,1,2,Real Bed,
719,5719631,Apartment,Entire home/apt,3,1,1,1,Real Bed,
720,9580209,Condominium,Entire home/apt,5,2,2,3,Real Bed,
721,9364220,Apartment,Entire home/apt,2,1,0,1,Real Bed,
722,9663221,Apartment,Entire home/apt,4,1,0,2,Real Bed,
723,9636952,Apartment,Entire home/apt,2,1,0,2,Real Bed,
724,8594059,House,Entire home/apt,5,1,2,2,Real Bed,
725,6278756,Apartment,Private room,2,1,1,1,Real Bed,
726,3679617,Apartment,Entire home/apt,4,1,0,2,Real Bed,
727,9416551,Apartment,Entire home/apt,2,1,0,1,Real Bed,
728,8322107,Apartment,Entire home/apt,2,1,1,1,Real Bed,
729,9511676,Apartment,Private room,1,1,1,1,Real Bed,
730,3158243,Apartment,Entire home/apt,4,1,1,2,Real Bed,
731,8327124,House,Entire home/apt,12,3.5,5,7,Real Bed,
732,4311078,House,Entire home/apt,9,2.5,4,6,Real Bed,
733,3329962,Apartment,Entire home/apt,3,1,1,2,Real Bed,
734,3263071,Apartment,Entire home/apt,4,1,1,2,Real Bed,
735,7302675,Apartment,Entire home/apt,3,1,0,2,Real Bed,
736,6250399,Apartment,Entire home/apt,3,1,0,1,Real Bed,
737,7387294,House,Private room,2,1,1,1,Real Bed,
738,7363462,House,Private room,1,1,1,1,Real Bed,
739,6796336,House,Private room,1,1.5,1,1,Real Bed,
740,8156894,House,Shared room,1,1,1,1,Real Bed,
741,1150519,House,Entire home/apt,7,1.5,3,5,Real Bed,
742,5969872,House,Private room,1,1,1,1,Airbed,
743,9617068,Apartment,Entire home/apt,4,1,1,1,Real Bed,
744,4438188,Apartment,Entire home/apt,3,1,1,1,Real Bed,
745,1521633,Apartment,Entire home/apt,4,1,1,2,Real Bed,
746,6623079,Apartment,Private room,2,1,1,2,Real Bed,
747,7561254,House,Private room,1,1,1,1,Real Bed,
748,3494608,House,Entire home/apt,3,1,1,2,Real Bed,
749,3085726,Apartment,Entire home/apt,2,1,1,1,Real Bed,
750,2256124,Apartment,Entire home/apt,3,1,1,2,Real Bed,
751,7071021,Apartment,Entire home/apt,4,1,0,2,Real Bed,
752,9465815,Apartment,Private room,1,1,1,1,Real Bed,
753,6938103,House,Private room,2,1,1,1,Real Bed,
754,6913414,House,Entire home/apt,6,1,2,2,Real Bed,
755,3706719,Apartment,Entire home/apt,2,1,0,1,Real Bed,
756,8174626,Apartment,Entire home/apt,2,1,1,1,Real Bed,
757,1571230,Apartment,Entire home/apt,3,1,1,1,Real Bed,
758,4270642,Apartment,Entire home/apt,2,1,0,1,Real Bed,
759,5407311,Apartment,Entire home/apt,4,1,1,2,Real Bed,
760,9976135,Apartment,Private room,1,1,1,1,Real Bed,
761,9558353,Apartment,Entire home/apt,2,1,0,1,Real Bed,
762,7247767,House,Private room,2,1,1,1,Real Bed,
763,7035077,House,Private room,1,1,1,1,Futon,
764,7353834,Apartment,Entire home/apt,4,1,0,2,Real Bed,
765,9319891,Apartment,Private room,1,1,1,1,Real Bed,
766,6575407,Condominium,Private room,1,1,1,1,Real Bed,
767,7550234,House,Private room,2,1,1,1,Real Bed,
768,8939736,House,Private room,2,1,1,1,Real Bed,
769,7247720,House,Private room,2,1,1,1,Real Bed,
770,1786923,Apartment,Entire home/apt,3,1,1,2,Real Bed,
771,7649837,Apartment,Entire home/apt,3,1,0,2,Real Bed,
772,3610724,Apartment,Entire home/apt,2,1,1,1,Real Bed,
773,7988337,Apartment,Entire home/apt,3,1,1,2,Real Bed,
774,1773803,Apartment,Entire home/apt,4,1,1,1,Real Bed,
775,7536074,Apartment,Entire home/apt,2,1,2,2,Real Bed,
776,3770248,Apartment,Entire home/apt,2,1,0,2,Real Bed,
777,9097754,Apartment,Entire home/apt,2,1,1,1,Real Bed,
778,3291295,Apartment,Entire home/apt,3,1,1,1,Real Bed,
779,8171726,Apartment,Entire home/apt,8,1,4,4,Real Bed,
780,10031055,House,Shared room,4,1.5,1,2,Real Bed,
781,8939595,House,Private room,2,1,1,1,Real Bed,
782,8155580,House,Shared room,1,1,1,1,Real Bed,
783,6705584,Apartment,Entire home/apt,4,1,1,2,Real Bed,
784,1417880,Apartment,Entire home/apt,2,1,1,1,Real Bed,
785,7245692,House,Private room,2,1,1,1,Real Bed,
786,7153101,Townhouse,Entire home/apt,4,2.5,2,2,Real Bed,
787,9014572,Apartment,Private room,1,0.5,1,1,Real Bed,
788,585418,Apartment,Shared room,2,1,1,1,Futon,
789,4484426,Apartment,Entire home/apt,6,2,2,2,Real Bed,
790,3291777,Apartment,Entire home/apt,4,1,1,2,Real Bed,
791,3096191,Apartment,Entire home/apt,6,2,2,2,Real Bed,
792,9865846,Apartment,Entire home/apt,4,1,2,2,Real Bed,
793,6249536,Apartment,Entire home/apt,2,1,0,1,Real Bed,
794,5744931,Apartment,Entire home/apt,4,1,1,4,Real Bed,
795,8156764,House,Shared room,1,1,1,1,Real Bed,
796,3303857,Apartment,Entire home/apt,3,1,1,1,Real Bed,
797,8155710,House,Shared room,1,1,1,1,Real Bed,
798,3843706,House,Entire home/apt,5,2,3,3,Real Bed,
799,8156860,House,Shared room,1,1,1,1,Real Bed,
800,9316399,Apartment,Private room,2,1,1,1,Real Bed,
801,293890,Apartment,Entire home/apt,4,1,2,3,Real Bed,
802,7915432,Townhouse,Shared room,2,1.5,1,2,Couch,
803,7501583,House,Entire home/apt,6,1,2,3,Real Bed,
804,10126050,Apartment,Entire home/apt,1,1,0,1,Airbed,
805,7807658,Apartment,Shared room,2,1,1,2,Real Bed,
806,1589461,Apartment,Entire home/apt,3,1,1,1,Real Bed,
807,9303530,Apartment,Entire home/apt,6,2,2,3,Real Bed,
808,7809718,House,Entire home/apt,5,1.5,3,2,Real Bed,
809,140331,House,Private room,2,1,1,1,Real Bed,
810,9462315,House,Private room,2,1,1,1,Real Bed,
811,565703,Apartment,Entire home/apt,4,1,2,2,Real Bed,
812,1147349,Apartment,Entire home/apt,2,1,1,1,Real Bed,
813,7262358,House,Entire home/apt,2,1,1,1,Real Bed,
814,723723,House,Entire home/apt,4,1,1,2,Real Bed,
815,4757025,House,Entire home/apt,4,1,2,2,Real Bed,
816,3334052,Apartment,Entire home/apt,2,1,0,1,Real Bed,
817,7036707,Apartment,Entire home/apt,2,1,0,1,Real Bed,
818,5272327,Apartment,Entire home/apt,2,1,1,1,Real Bed,
819,3921664,House,Private room,4,1,1,2,Real Bed,
820,9974658,House,Private room,2,1,1,1,Real Bed,
821,2727984,House,Private room,1,1,1,1,Real Bed,
822,794633,House,Entire home/apt,2,1,1,1,Real Bed,
823,3959442,Apartment,Entire home/apt,2,1,0,1,Real Bed,
824,6761267,House,Entire home/apt,2,1,1,1,Real Bed,
825,6824408,House,Entire home/apt,8,2.5,3,3,Real Bed,
826,2526129,House,Entire home/apt,8,3,4,4,Real Bed,
827,7859906,House,Private room,2,1,1,1,Real Bed,
828,9636248,Condominium,Entire home/apt,2,1,1,1,Real Bed,
829,4623541,House,Entire home/apt,5,2.5,2,2,Real Bed,
830,1970725,House,Private room,2,1,1,1,Real Bed,
831,4418480,Apartment,Entire home/apt,3,1,1,1,Real Bed,
832,911001,Townhouse,Entire home/apt,6,3.5,3,3,Real Bed,2100
833,6670332,House,Entire home/apt,5,1,1,2,Real Bed,
834,1249060,House,Entire home/apt,3,1,1,1,Real Bed,
835,1566487,Apartment,Entire home/apt,4,1,1,2,Real Bed,
836,9711153,Apartment,Shared room,1,1,1,1,Real Bed,
837,444221,House,Private room,2,1,1,1,Real Bed,
838,1018204,Cabin,Private room,4,1,1,2,Real Bed,
839,4856986,House,Entire home/apt,7,2.5,3,4,Real Bed,
840,2130652,Apartment,Entire home/apt,4,1,2,2,Real Bed,
841,5524530,House,Entire home/apt,8,3,4,4,Real Bed,
842,9216874,Townhouse,Entire home/apt,4,1.5,2,2,Real Bed,
843,7971395,House,Private room,2,1,1,1,Real Bed,
844,2593263,House,Private room,3,2,1,1,Real Bed,
845,443580,Cabin,Private room,2,1,1,1,Real Bed,
846,1614502,House,Private room,2,1,1,1,Real Bed,
847,4477426,Apartment,Private room,2,1.5,1,1,Real Bed,
848,7648716,House,Private room,2,1,1,1,Real Bed,
849,9696912,House,Private room,2,1,1,1,Real Bed,
850,3585592,Apartment,Entire home/apt,2,1,1,1,Real Bed,
851,3757858,Apartment,Shared room,2,1,1,1,Real Bed,
852,7219838,Apartment,Shared room,3,1,1,1,Airbed,
853,6022715,Apartment,Entire home/apt,4,1,2,1,Real Bed,
854,7685745,House,Private room,2,1,1,1,Real Bed,
855,4565370,House,Private room,2,1,1,1,Real Bed,
856,4783817,Apartment,Private room,2,1,1,1,Real Bed,
857,2593176,House,Private room,3,2,1,2,Real Bed,
858,3143227,House,Private room,1,2,1,1,Real Bed,
859,1214306,House,Private room,2,1.5,1,1,Real Bed,
860,9448215,House,Private room,2,1,1,1,Real Bed,
861,9369481,House,Private room,2,1,1,1,Real Bed,
862,3533224,House,Private room,2,1.5,1,1,Real Bed,
863,443736,Apartment,Entire home/apt,2,1,1,1,Real Bed,
864,6675927,House,Private room,2,1.5,1,1,Real Bed,
865,1772119,House,Private room,2,2,1,1,Real Bed,
866,7808495,House,Private room,1,1,1,1,Real Bed,
867,4539948,Loft,Entire home/apt,2,1,0,1,Real Bed,
868,7768727,Townhouse,Private room,2,1,1,1,Real Bed,
869,769213,House,Entire home/apt,2,1,0,1,Pull-out Sofa,
870,5328449,Apartment,Entire home/apt,4,1,1,2,Real Bed,
871,1763809,House,Private room,2,2,1,1,Real Bed,
872,1499596,House,Entire home/apt,6,2,2,2,Real Bed,
873,4737727,House,Private room,2,1,1,1,Futon,
874,8242212,Apartment,Entire home/apt,2,1,1,1,Real Bed,
875,8186781,House,Entire home/apt,4,2,2,2,Real Bed,
876,7229015,Townhouse,Private room,2,1,1,1,Real Bed,
877,5814207,Apartment,Entire home/apt,2,1,1,1,Real Bed,
878,2274086,Apartment,Private room,2,1,1,2,Real Bed,
879,4387985,House,Entire home/apt,6,1,2,3,Real Bed,
880,9909445,Bungalow,Entire home/apt,2,1,0,1,Real Bed,
881,7664899,House,Private room,4,1,1,2,Real Bed,
