type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
100,5549211,Apartment,Entire home/apt,4,1,1,2,Real Bed,
101,8240758,Apartment,Entire home/apt,2,1,1,1,Real Bed,
102,6856295,House,Private room,2,1,1,1,Real Bed,
103,6881188,House,Entire home/apt,6,2.5,3,4,Real Bed,
104,1579615,House,Entire home/apt,3,1,1,2,Real Bed,485
105,3766866,Condominium,Entire home/apt,2,1,1,1,Real Bed,
106,2406966,Apartment,Entire home/apt,5,1,2,4,Real Bed,
107,4872699,House,Entire home/apt,6,1.5,3,4,Real Bed,
108,5470629,Apartment,Entire home/apt,2,1,1,1,Real Bed,
109,2950213,Apartment,Entire home/apt,4,1,1,1,Real Bed,
110,9015088,Apartment,Entire home/apt,5,2,2,2,Real Bed,
111,3979496,House,Private room,2,1,1,1,Futon,
112,7501919,Apartment,Entire home/apt,2,1,1,2,Real Bed,
113,4732995,Apartment,Entire home/apt,3,1,1,1,Real Bed,
114,7134759,Townhouse,Private room,2,1,1,1,Real Bed,
115,4532538,House,Entire home/apt,5,3,3,5,Real Bed,
116,7534398,Apartment,Private room,3,1,1,1,Real Bed,
117,9387189,Apartment,Entire home/apt,3,1,0,1,Real Bed,
118,6337492,Apartment,Entire home/apt,2,1,1,1,Real Bed,
119,10231701,Townhouse,Private room,2,1.5,1,1,Real Bed,
120,1609922,House,Entire home/apt,5,1.5,2,2,Real Bed,
121,4236723,House,Entire home/apt,6,1.5,2,3,Real Bed,
122,7843837,Apartment,Entire home/apt,4,1,1,1,Real Bed,
123,3076065,House,Entire home/apt,5,3,2,2,Real Bed,
124,6423204,House,Entire home/apt,3,1,2,2,Real Bed,
125,8338849,House,Private room,2,1,1,1,Real Bed,
126,6401209,House,Entire home/apt,8,2.5,4,5,Real Bed,
127,20928,House,Entire home/apt,2,1,1,1,Futon,
128,3344977,House,Private room,2,1,1,1,Real Bed,
129,7604621,Townhouse,Entire home/apt,2,1,0,1,Real Bed,
130,3303978,House,Entire home/apt,2,1,1,1,Futon,
131,7067082,Loft,Private room,3,1,1,1,Real Bed,
132,3121829,House,Entire home/apt,4,2.5,3,2,Real Bed,
133,2539881,Apartment,Entire home/apt,2,1,1,1,Real Bed,
134,3678718,Apartment,Entire home/apt,2,1,0,1,Real Bed,
135,4694479,House,Private room,2,1,1,1,Real Bed,
136,6646843,Apartment,Entire home/apt,4,1,1,2,Real Bed,
137,1364440,Apartment,Private room,1,1,1,1,Futon,
138,1781873,Apartment,Entire home/apt,2,1,1,1,Real Bed,
139,4138423,House,Entire home/apt,4,1,1,1,Real Bed,
