host_no,listing_id,availability_30,availability_60,availability_90,availability_365
275,6400000,25,55,85,155
276,6776229,11,33,62,62
277,7627794,30,52,68,68
278,8374102,8,38,68,342
279,6316934,0,15,44,44
280,1820794,6,22,44,231
281,314180,2,32,62,132
282,8670079,0,0,0,69
283,4868135,29,59,89,364
284,5336585,0,0,25,300
285,1427103,11,38,66,341
286,3518808,29,57,69,343
287,8995844,0,0,0,46
288,356566,18,42,72,347
289,6466388,0,0,2,277
290,4531944,20,50,80,342
291,6686072,28,58,88,254
292,4384343,2,32,62,337
293,7900056,26,56,86,359
294,6378563,0,0,0,262
295,5630783,24,38,68,157
296,340706,12,15,30,153
297,6202214,3,33,63,152
298,1030411,0,0,0,0
299,7922373,30,60,90,179
300,6156470,27,57,87,362
301,2994309,30,60,90,344
302,1594328,27,54,54,84
303,8072920,9,26,26,130
304,6915487,0,27,35,304
305,6202603,30,60,90,365
306,5286781,27,57,86,86
307,2818420,30,60,90,365
308,3739681,0,0,0,275
309,7922063,30,60,89,89
310,611509,0,0,0,216
311,1802663,20,42,72,343
312,9797545,0,5,35,310
313,9241055,0,0,0,35
314,9294832,26,46,76,351
315,8643209,30,60,90,365
316,7258811,30,60,90,365
317,10265391,27,57,87,362
318,132120,30,60,90,365
319,6343866,29,59,89,363
320,3066740,0,26,56,331
321,4130112,0,0,0,170
322,4026757,30,60,90,365
323,9545281,0,0,0,20
324,3294804,18,48,78,353
325,4122325,0,0,0,0
326,8308353,23,43,61,61
327,7226013,25,55,85,360
328,5761290,30,60,90,364
329,182716,0,9,23,63
330,3050140,0,0,0,262
331,3254956,30,60,90,365
332,1264287,25,55,85,293
333,3404557,29,59,89,364
334,3939683,29,59,89,364
335,3424242,30,60,90,365
336,7985714,30,60,90,365
337,4279876,13,27,47,111
338,3870253,0,0,0,178
339,2187563,30,60,90,365
340,3889299,30,60,90,365
341,3889330,29,59,89,364
342,1184846,26,56,86,361
343,3626162,0,3,19,270
344,456040,23,50,72,347
345,9033154,0,0,0,48
346,4340838,22,52,82,357
347,808811,30,60,90,365
348,7368030,0,0,0,146
349,522287,30,57,86,86
350,1940787,8,8,15,169
351,3732103,30,60,90,365
352,43373,17,43,63,338
353,5126365,30,60,90,365
354,7182584,0,0,0,251
355,5325214,24,54,81,356
356,2710274,26,56,85,85
357,5128160,0,0,0,140
358,3424114,29,59,89,364
359,2776890,0,27,57,146
360,4521755,30,60,90,361
361,3456599,18,48,78,353
362,8207848,30,60,90,365
363,10249527,7,7,7,7
364,1252740,20,31,61,336
365,4250938,30,60,90,361
366,3791920,17,43,73,348
367,4258762,30,60,90,365
368,7364146,6,32,62,337
369,6765045,0,0,0,0
370,3193738,0,0,2,277
371,8765219,30,60,87,360
372,8174285,2,32,62,337
373,3403638,29,59,89,364
374,7601333,0,0,0,121
375,6707735,0,0,0,267
376,7322718,30,60,89,89
377,3783162,0,0,0,0
378,6606,30,60,90,365
379,3889280,30,60,90,365
380,3971137,29,59,89,364
381,3889050,29,59,89,364
382,799882,0,0,0,212
383,9508386,26,56,86,354
384,6714817,0,0,0,186
385,3773700,0,0,0,0
386,3773568,30,60,90,365
387,9313974,25,55,55,85
388,6492880,0,20,43,275
389,4879013,18,35,58,116
390,3732094,30,60,90,365
391,873073,14,21,21,21
392,234898,3,3,3,66
393,8533375,29,59,89,364
394,6854019,0,0,0,176
395,8418650,5,27,36,235
396,3732076,29,59,89,364
397,4608592,30,60,90,343
398,4862719,30,59,88,363
399,668169,1,4,33,33
400,429453,2,32,62,337
401,10124808,28,51,81,339
402,7459684,9,19,49,313
403,5992645,10,30,60,334
404,7917718,0,0,0,191
405,2986056,29,59,89,364
406,2011193,5,5,12,154
407,3768626,28,58,88,363
408,2026794,26,56,85,85
409,9154294,25,50,80,351
410,430610,24,54,84,359
411,3231850,23,44,66,328
412,2976798,23,53,80,333
413,703058,10,27,27,193
414,7826541,0,0,0,119
415,240920,0,3,33,308
416,6655233,0,0,0,121
417,9866461,29,56,56,57
418,7957729,0,0,0,102
419,1428687,27,50,80,355
420,4803403,3,33,63,338
421,11012,30,60,90,365
422,3888924,29,59,89,364
423,8842808,30,60,90,365
424,1114695,20,50,80,355
425,1715582,0,0,0,94
426,6704734,0,0,2,277
427,8555098,30,60,90,365
428,1214316,0,5,35,310
429,7325455,25,55,85,360
430,6325685,24,54,84,259
431,9596,28,58,88,363
432,9568491,21,51,81,356
433,1747184,0,0,0,121
434,8653843,30,60,90,365
435,6727729,0,5,5,190
436,3888986,30,60,90,365
437,4135710,21,51,81,140
438,3652434,28,54,84,359
439,7667990,0,0,0,116
440,4047058,26,41,64,339
441,7163934,24,54,83,83
442,7717478,10,14,14,198
443,4653552,13,13,13,76
444,6915439,0,0,0,19
445,506542,30,44,74,349
446,4046863,16,46,76,350
447,3915826,0,0,0,124
448,4787415,29,59,89,364
449,1602488,30,60,90,365
450,8459215,30,60,90,365
451,10274175,12,40,70,345
452,9167786,28,58,88,363
453,5686435,29,59,89,178
454,7939058,30,60,90,365
455,8392801,6,36,66,341
456,7404370,0,0,0,144
457,3720511,30,60,90,365
458,8193332,0,0,2,126
459,7957904,0,0,0,111
460,4555997,12,42,71,159
461,2267088,12,26,41,283
462,108468,30,60,90,365
463,6400379,10,40,70,345
464,5948003,25,55,84,84
465,5058086,28,56,79,354
466,1209255,13,13,13,260
467,1914051,10,35,38,309
468,2923529,16,37,67,342
469,1027860,0,3,33,308
470,2373176,8,31,61,336
471,6404427,21,51,81,170
472,8517602,20,42,71,329
473,7035240,0,0,0,165
474,4583161,25,55,85,360
475,7967844,18,18,45,95
476,6562393,0,0,0,196
477,7807087,7,22,29,269
478,5405643,22,49,79,313
479,7011200,19,49,79,354
480,610989,0,0,0,2
481,7839535,5,22,52,141
482,4814894,14,14,14,128
483,186328,0,26,56,331
484,7492877,17,47,77,352
485,6576228,0,0,0,63
486,241016,19,49,79,354
487,6968101,10,19,19,187
488,5648564,3,33,63,337
489,4116645,3,29,59,334
490,2419879,0,26,56,331
491,6425735,0,0,0,189
492,8105351,10,10,10,113
493,9136499,0,0,0,42
494,3639023,30,60,90,365
495,6724599,4,34,63,63
496,4211629,0,0,0,116
497,7151924,24,54,84,359
498,704764,25,47,54,166
499,1796217,22,52,82,202
500,4661812,20,50,80,355
501,8811945,0,0,0,0
502,1090307,2,32,62,337
503,15108,0,1,31,306
504,1882316,11,11,11,286
505,1095207,0,0,0,155
506,1343805,0,0,0,153
507,9217150,8,24,50,321
508,103920,30,60,90,365
509,2215336,30,60,86,361
510,1483944,0,0,2,277
511,6466129,6,6,6,253
